feature,importance
Existing_Loans,0.29012913
Debt_to_Income_Ratio,0.11777391
Monthly_Debt,0.092771284
Property_Ownership,0.08708076
Age,0.061615504
Education_Level,0.050322387
Credit_History_Years,0.04682304
Age_Income_Product,0.045218285
Employment_Type,0.041273493
Work_Experience_Years,0.03846736
Experience_to_Age_Ratio,0.038110264
Loan_Purpose,0.032837804
Dependents,0.030881485
City_Tier,0.026695285
Annual_Income,0.0
CIBIL_Score,0.0
Loan_Amount_Requested,0.0
Monthly_Income,0.0
Loan_to_Income_Ratio,0.0
