Age,Annual_Income,CIBIL_Score,Employment_Type,Work_Experience_Years,Loan_Amount_Requested,Loan_Purpose,Existing_Loans,Credit_History_Years,Monthly_Debt,Dependents,Education_Level,Property_Ownership,City_Tier,Monthly_Income,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Age_Income_Product,Experience_to_Age_Ratio,Loan_Approved
59,1144826,762,Salaried,14,240108,Personal,0,21,97838,2,Master,Mortgaged,2,95402.16666666667,1.0,0.2097331821604331,67.544734,0.23728813559322035,1
49,1144826,762,Salaried,7,240108,Business,2,12,41983,0,Bachelor,Owned,1,95402.16666666667,0.44006338081070834,0.2097331821604331,56.096474,0.14285714285714285,1
35,1144826,762,Salaried,28,240108,Business,0,0,1950,3,Bachelor,Mortgaged,2,95402.16666666667,0.020439787356331878,0.2097331821604331,40.06891,0.8,1
63,1144826,762,Salaried,38,240108,Business,1,12,22732,1,PhD,Rented,2,95402.16666666667,0.2382755108636596,0.2097331821604331,72.124038,0.6031746031746031,1
28,1144826,762,Salaried,34,240108,Business,1,5,51470,0,Bachelor,Rented,3,95402.16666666667,0.5395055667848214,0.2097331821604331,32.055128,1.2142857142857142,1
41,1144826,762,Salaried,13,240108,Education,3,7,47285,4,High School,Mortgaged,1,95402.16666666667,0.495638638535463,0.2097331821604331,46.937866,0.3170731707317073,1
59,1144826,762,Salaried,31,240108,Education,2,18,1732,1,Bachelor,Rented,3,95402.16666666667,0.018154723949316314,0.2097331821604331,67.544734,0.5254237288135594,1
39,1144826,762,Self-Employed,6,240108,Business,2,22,55081,4,Bachelor,Owned,2,95402.16666666667,0.5773558601918545,0.2097331821604331,44.648214,0.15384615384615385,1
43,1144826,762,Business,32,240108,Education,0,13,33398,0,Bachelor,Rented,3,95402.16666666667,0.350075906731678,0.2097331821604331,49.227518,0.7441860465116279,1
31,1144826,762,Self-Employed,34,240108,Home,1,5,43288,0,High School,Mortgaged,3,95402.16666666667,0.45374231542609966,0.2097331821604331,35.489606,1.096774193548387,1
31,1144826,762,Salaried,26,240108,Education,1,16,35851,2,Bachelor,Owned,2,95402.16666666667,0.3757881110317201,0.2097331821604331,35.489606,0.8387096774193549,1
44,1144826,762,Self-Employed,0,240108,Home,0,1,6128,3,Bachelor,Rented,3,95402.16666666667,0.06423334201005218,0.2097331821604331,50.372344,0.0,1
56,1144826,762,Salaried,5,240108,Home,2,15,77064,0,High School,Mortgaged,3,95402.16666666667,0.8077803963222359,0.2097331821604331,64.110256,0.08928571428571429,0
60,1144826,762,Self-Employed,1,240108,Home,0,4,80508,2,High School,Rented,2,95402.16666666667,0.8438802053761881,0.2097331821604331,68.68956,0.016666666666666666,0
44,1144826,762,Self-Employed,6,240108,Home,1,22,64345,0,PhD,Owned,1,95402.16666666667,0.674460573047782,0.2097331821604331,50.372344,0.13636363636363635,1
23,1144826,762,Self-Employed,7,240108,Home,1,19,39204,2,Bachelor,Mortgaged,2,95402.16666666667,0.4109340633423769,0.2097331821604331,26.330998,0.30434782608695654,1
42,1144826,762,Salaried,28,240108,Home,2,5,71816,2,Bachelor,Rented,2,95402.16666666667,0.752771163478118,0.2097331821604331,48.082692,0.6666666666666666,0
22,1144826,762,Salaried,15,240108,Personal,1,1,45252,2,Bachelor,Mortgaged,2,95402.16666666667,0.4743288499737078,0.2097331821604331,25.186172,0.6818181818181818,1
44,1144826,762,Salaried,28,240108,Home,1,4,26294,1,Bachelor,Rented,2,95402.16666666667,0.27561218910122587,0.2097331821604331,50.372344,0.6363636363636364,1
64,1144826,762,Salaried,30,240108,Home,1,9,87853,3,Bachelor,Rented,2,95402.16666666667,0.9208700710850382,0.2097331821604331,73.268864,0.46875,1
50,1144826,762,Salaried,21,240108,Business,1,18,73640,1,Bachelor,Owned,1,95402.16666666667,0.7718902261129639,0.2097331821604331,57.2413,0.42,1
58,1144826,762,Salaried,9,240108,Business,0,0,87134,1,Master,Rented,2,95402.16666666667,0.9133335546187804,0.2097331821604331,66.399908,0.15517241379310345,1
22,1144826,762,Salaried,3,240108,Home,0,5,68843,4,Bachelor,Mortgaged,2,95402.16666666667,0.7216083492163874,0.2097331821604331,25.186172,0.13636363636363635,1
41,1144826,762,Business,24,240108,Business,1,24,64100,0,Bachelor,Mortgaged,1,95402.16666666667,0.6718924972004479,0.2097331821604331,46.937866,0.5853658536585366,1
53,1144826,762,Salaried,12,240108,Personal,0,15,20486,2,Bachelor,Owned,1,95402.16666666667,0.2147330686060589,0.2097331821604331,60.675778,0.22641509433962265,1
32,1144826,762,Salaried,16,240108,Home,0,9,6532,2,Bachelor,Rented,3,95402.16666666667,0.06846804667259479,0.2097331821604331,36.634432,0.5,1
42,1144826,762,Business,39,240108,Business,2,7,42931,0,Bachelor,Rented,2,95402.16666666667,0.4500002620485558,0.2097331821604331,48.082692,0.9285714285714286,1
64,1144826,762,Business,7,240108,Vehicle,0,19,23676,1,High School,Rented,2,95402.16666666667,0.24817046433257106,0.2097331821604331,73.268864,0.109375,1
45,1144826,762,Salaried,22,240108,Education,0,23,97488,1,Bachelor,Rented,3,95402.16666666667,1.0,0.2097331821604331,51.51717,0.4888888888888889,1
47,1144826,762,Salaried,6,240108,Home,1,20,45732,3,Bachelor,Owned,2,95402.16666666667,0.4793601822460356,0.2097331821604331,53.806822,0.1276595744680851,1
62,1144826,762,Salaried,31,240108,Home,1,18,14139,1,Master,Mortgaged,1,95402.16666666667,0.14820418124675713,0.2097331821604331,70.979212,0.5,1
48,1144826,762,Salaried,23,240108,Home,1,19,74714,1,Master,Rented,2,95402.16666666667,0.7831478320722974,0.2097331821604331,54.951648,0.4791666666666667,1
36,1144826,762,Business,0,240108,Home,0,6,9721,2,Bachelor,Rented,3,95402.16666666667,0.10189496045687292,0.2097331821604331,41.213736,0.0,1
35,1144826,762,Self-Employed,35,240108,Home,1,14,31220,1,Bachelor,Mortgaged,1,95402.16666666667,0.3272462365459904,0.2097331821604331,40.06891,1.0,1
64,1144826,762,Salaried,26,240108,Personal,0,4,88507,1,Bachelor,Rented,1,95402.16666666667,0.9277252613060849,0.2097331821604331,73.268864,0.40625,0
23,1144826,762,Business,5,240108,Personal,1,3,94683,2,High School,Owned,2,95402.16666666667,0.9924617365433699,0.2097331821604331,26.330998,0.21739130434782608,1
57,1144826,762,Self-Employed,30,240108,Personal,1,18,11048,1,Master,Rented,3,95402.16666666667,0.11580449780141261,0.2097331821604331,65.255082,0.5263157894736842,1
27,1144826,762,Business,11,240108,Home,2,18,19904,0,Master,Owned,2,95402.16666666667,0.2086325782258614,0.2097331821604331,30.910302,0.4074074074074074,1
41,1144826,762,Business,25,240108,Home,0,9,58247,2,Bachelor,Mortgaged,2,95402.16666666667,0.6105416893047502,0.2097331821604331,46.937866,0.6097560975609756,1
29,1144826,762,Salaried,24,240108,Personal,0,21,9196,0,Master,Owned,2,95402.16666666667,0.09639194078401433,0.2097331821604331,33.199954,0.8275862068965517,1
59,1144826,762,Salaried,3,240108,Vehicle,2,7,40,4,Bachelor,Owned,1,95402.16666666667,0.0004192776893606539,0.2097331821604331,67.544734,0.05084745762711865,1
38,1144826,762,Salaried,5,240108,Education,2,19,57262,2,High School,Rented,3,95402.16666666667,0.6002169762042441,0.2097331821604331,43.503388,0.13157894736842105,1
24,1144826,762,Business,12,240108,Personal,3,0,63866,0,Bachelor,Owned,1,95402.16666666667,0.669439722717688,0.2097331821604331,27.475824,0.5,0
45,1144826,762,Business,24,240108,Home,0,19,55146,0,Bachelor,Owned,2,95402.16666666667,0.5780371864370655,0.2097331821604331,51.51717,0.5333333333333333,1
34,1144826,762,Salaried,30,240108,Home,1,20,69465,1,Bachelor,Rented,3,95402.16666666667,0.7281281172859456,0.2097331821604331,38.924084,0.8823529411764706,1
29,1144826,762,Salaried,21,240108,Personal,0,23,87971,3,Bachelor,Mortgaged,3,95402.16666666667,0.9221069402686521,0.2097331821604331,33.199954,0.7241379310344828,1
46,1144826,762,Salaried,34,240108,Personal,3,12,68711,3,Master,Rented,1,95402.16666666667,0.7202247328414972,0.2097331821604331,52.661996,0.7391304347826086,0
22,1144826,762,Self-Employed,20,240108,Home,0,6,47468,0,PhD,Rented,1,95402.16666666667,0.497556833964288,0.2097331821604331,25.186172,0.9090909090909091,1
40,1144826,762,Salaried,14,240108,Home,2,1,38128,2,Bachelor,Owned,3,95402.16666666667,0.3996554934985753,0.2097331821604331,45.79304,0.35,1
48,1144826,762,Salaried,2,240108,Personal,1,8,36099,3,Bachelor,Mortgaged,1,95402.16666666667,0.37838763270575615,0.2097331821604331,54.951648,0.041666666666666664,1
27,1144826,762,Salaried,36,240108,Home,2,18,64681,2,Bachelor,Rented,2,95402.16666666667,0.6779825056384113,0.2097331821604331,30.910302,1.3333333333333333,1
64,1144826,762,Self-Employed,25,240108,Vehicle,0,8,48377,2,Bachelor,Rented,2,95402.16666666667,0.5070849194550089,0.2097331821604331,73.268864,0.390625,1
28,1144826,762,Business,16,240108,Home,0,16,41949,0,Bachelor,Rented,1,95402.16666666667,0.4397069947747518,0.2097331821604331,32.055128,0.5714285714285714,1
55,1144826,762,Salaried,37,240108,Vehicle,0,24,95123,3,High School,Rented,2,95402.16666666667,0.9970737911263371,0.2097331821604331,62.96543,0.6727272727272727,1
34,1144826,762,Salaried,34,240108,Education,1,22,20509,3,Bachelor,Owned,1,95402.16666666667,0.21497415327744127,0.2097331821604331,38.924084,1.0,1
37,1144826,762,Self-Employed,7,240108,Personal,2,17,25681,1,Bachelor,Rented,2,95402.16666666667,0.2691867585117738,0.2097331821604331,42.358562,0.1891891891891892,1
56,1144826,762,Business,10,240108,Personal,1,9,39197,1,Master,Owned,3,95402.16666666667,0.4108606897467388,0.2097331821604331,64.110256,0.17857142857142858,1
60,1144826,762,Salaried,23,240108,Personal,1,22,49506,0,Bachelor,Rented,1,95402.16666666667,0.5189190322372134,0.2097331821604331,68.68956,0.38333333333333336,1
24,1144826,762,Salaried,7,240108,Personal,0,0,48384,2,Bachelor,Rented,3,95402.16666666667,0.507158293050647,0.2097331821604331,27.475824,0.2916666666666667,1
22,1144826,762,Salaried,29,240108,Home,1,10,42297,0,Bachelor,Rented,2,95402.16666666667,0.44335471067218946,0.2097331821604331,25.186172,1.3181818181818181,1
